t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1675883910,3,0,141893,0,000000,0,000000,0,000000,events/second
1675883940,3,0,058494,0,000000,0,000000,0,000000,events/second
1675883970,6,0,073793,0,000000,0,000000,0,000000,events/second
1675884000,7,0,062875,0,000000,0,000000,0,000000,events/second
1675884030,7,0,049521,0,000000,0,000000,0,000000,events/second
1675884060,10,0,058357,0,000000,0,000000,0,000000,events/second
1675884090,10,0,049659,0,000000,0,000000,0,000000,events/second
1675884120,10,0,043217,0,000000,0,000000,0,000000,events/second
1675884150,12,0,045904,0,000000,0,000000,0,000000,events/second
1675884180,12,0,041175,0,000000,0,000000,0,000000,events/second
1675884210,13,0,040441,0,000000,0,000000,0,000000,events/second
1675884240,13,0,036987,0,000000,0,000000,0,000000,events/second
1675884270,13,0,034078,0,000000,0,000000,0,000000,events/second
1675884300,13,0,031592,0,000000,0,000000,0,000000,events/second
1675884330,13,0,029444,0,000000,0,000000,0,000000,events/second
1675884360,13,0,027569,0,000000,0,000000,0,000000,events/second
1675884390,13,0,025919,0,000000,0,000000,0,000000,events/second
1675884420,13,0,024455,0,000000,0,000000,0,000000,events/second
1675884450,13,0,023148,0,000000,0,000000,0,000000,events/second
1675884480,13,0,021974,0,000000,0,000000,0,000000,events/second
1675884510,13,0,020913,0,000000,0,000000,0,000000,events/second
1675884540,13,0,019950,0,000000,0,000000,0,000000,events/second
1675884570,13,0,019071,0,000000,0,000000,0,000000,events/second
1675884600,13,0,018267,0,000000,0,000000,0,000000,events/second
1675884630,13,0,017528,0,000000,0,000000,0,000000,events/second
1675884660,13,0,016846,0,000000,0,000000,0,000000,events/second
1675884690,13,0,016215,0,000000,0,000000,0,000000,events/second
1675884720,13,0,015630,0,000000,0,000000,0,000000,events/second
1675884750,13,0,015086,0,000000,0,000000,0,000000,events/second
1675884780,13,0,014578,0,000000,0,000000,0,000000,events/second
1675884810,13,0,014103,0,000000,0,000000,0,000000,events/second
1675884840,13,0,013658,0,000000,0,000000,0,000000,events/second
1675975050,13,1,185442,0,000000,0,000000,0,000000,events/second
1675975080,13,0,314666,0,000000,0,000000,0,000000,events/second
1675975110,13,0,182217,0,000000,0,000000,0,000000,events/second
1675975141,13,0,128244,0,000000,0,000000,0,000000,events/second
1675975171,13,0,098942,0,000000,0,000000,0,000000,events/second
